Year,FMP Area,FMP Subarea,Reporting Area Code,Trip Target Code,Trip Target Name,Species Group Name,Retained/Discarded,Gear Code,Weight Posted (Sum),WED (mmdd)
1991,BSAI,BS,511,,,Pollock,Retained,TRW,3840.35,217
1991,BSAI,BS,511,,,Pollock,Retained,TRW,5205.11,224
1991,BSAI,BS,511,,,Pollock,Retained,TRW,4.56,303
1991,BSAI,BS,511,,,Pollock,Retained,TRW,0,310
1991,BSAI,BS,511,,,Pollock,Retained,TRW,0,317
1991,BSAI,BS,511,,,Pollock,Retained,TRW,20.96,324
1991,BSAI,BS,511,,,Pollock,Retained,TRW,7.18,331
1991,BSAI,BS,511,,,Pollock,Retained,TRW,11.94,414
1991,BSAI,BS,511,,,Pollock,Retained,TRW,13,421
1991,BSAI,BS,511,,,Pollock,Retained,TRW,17,505
1991,BSAI,BS,511,,,Pollock,Retained,TRW,4,526
1991,BSAI,BS,511,,,Pollock,Retained,TRW,7.36,602
1991,BSAI,BS,511,,,Pollock,Retained,TRW,816.73,609
1991,BSAI,BS,511,,,Pollock,Retained,TRW,3628.44,616
1991,BSAI,BS,511,,,Pollock,Retained,TRW,429.44,623
1991,BSAI,BS,511,,,Pollock,Retained,TRW,126.79,630
1991,BSAI,BS,511,,,Pollock,Retained,TRW,487.8,707
1991,BSAI,BS,511,,,Pollock,Retained,TRW,89.99,721
1991,BSAI,BS,511,,,Pollock,Retained,TRW,262.2,728
1991,BSAI,BS,511,,,Pollock,Retained,TRW,228.83,804
1991,BSAI,BS,511,,,Pollock,Retained,TRW,1309.02,811
1991,BSAI,BS,511,,,Pollock,Retained,TRW,610.32,818
1991,BSAI,BS,511,,,Pollock,Retained,TRW,122.67,901
1991,BSAI,BS,511,,,Pollock,Retained,TRW,29.92,908
1991,BSAI,BS,512,C,Pacific Cod,Pollock,Discarded,HAL,0.02,721
1991,BSAI,BS,512,F,Other Flatfish - BSAI,Pollock,Discarded,TRW,0.05,505
1991,BSAI,BS,513,B,Pollock - bottom,Pollock,Discarded,TRW,10.95,106
1991,BSAI,BS,513,B,Pollock - bottom,Pollock,Discarded,TRW,47.75,310
1991,BSAI,BS,513,B,Pollock - bottom,Pollock,Discarded,TRW,18.53,317
